time	reference
4.12	0.9980315030999016
4.14	0.9980923887699185
4.16	0.9981513912497468
4.18	0.9982085687858565
4.2	0.9982639778232167
4.22	0.9983176730610109
4.24	0.9983697075066283
4.26	0.9984201325279863
4.28	0.9984689979042348
4.3	0.9985163518748927
4.32	0.9985622411874654
4.34	0.998606711143589
4.36	0.9986498056437482
4.38	0.9986915672306111
4.4	0.9987320371310242
4.42	0.9987712552967082
4.44	0.9988092604436957
4.46	0.9988460900905493
4.48	0.9988817805953975
4.5	0.9989163671918254
4.5200000000000005	0.9989498840236557
4.54	0.9989823641786533
4.5600000000000005	0.9990138397211884
4.58	0.9990443417238891
4.6000000000000005	0.9990739002983149
4.62	0.9991025446246815
4.64	0.9991303029806671
4.66	0.9991572027693265
4.68	0.9991832705461431
4.7	0.9992085320452434
4.72	0.9992330122048012
4.74	0.999256735191656
4.76	0.9992797244251699
4.78	0.9993020026003465
4.8	0.9993235917102353
4.82	0.9993445130676428
4.84	0.9993647873261718
4.86	0.9993844345006108
4.88	0.9994034739866917
4.9	0.9994219245802378
4.92	0.9994398044957182
4.94	0.9994571313842292
4.96	0.9994739223509189
4.98	0.999490193971874
5.0	0.9995059623104827
5.0200000000000005	0.999521242933293
5.04	0.9995360509253796
5.0600000000000005	0.9995504009052356
5.08	0.9995643070392044
5.1000000000000005	0.9995777830554641
5.12	0.99959084225758
5.14	0.999603497537638
5.16	0.9996157613889715
5.18	0.9996276459184946
5.2	0.9996391628586546
5.22	0.9996503235790134
5.24	0.9996611390974722
5.26	0.9996716200911482
5.28	0.9996817769069146
5.3	0.9996916195716158
5.32	0.9997011578019652
5.34	0.9997104010141379
5.36	0.9997193583330662
5.38	0.999728038601448
5.4	0.9997364503884757
5.42	0.9997446019982964
5.44	0.9997525014782095
5.46	0.9997601566266109
5.48	0.9997675750006916
5.5	0.9997747639238984
5.5200000000000005	0.9997817304931633
5.54	0.9997884815859099
5.5600000000000005	0.9997950238668426
5.58	0.9998013637945261
5.6000000000000005	0.9998075076277612
5.62	0.9998134614317635
5.64	0.9998192310841515
5.66	0.9998248222807481
5.68	0.9998302405412043
5.7	0.9998354912144478
5.72	0.9998405794839637
5.74	0.9998455103729114
5.76	0.9998502887490837
5.78	0.9998549193297123
5.8	0.9998594066861244
5.82	0.999863755248256
5.84	0.9998679693090247
5.86	0.9998720530285679
5.88	0.9998760104383495
5.9	0.9998798454451402
5.92	0.9998835618348738
5.94	0.9998871632763849
5.96	0.9998906533250309
5.98	0.9998940354262016
6.0	0.9998973129187206
6.0200000000000005	0.9999004890381418
6.04	0.9999035669199426
6.0600000000000005	0.9999065496026204
6.08	0.9999094400306912
6.1000000000000005	0.9999122410575971
6.12	0.9999149554485233
6.140000000000001	0.9999175858831271
6.16	0.999920134958184
6.18	0.9999226051901512
6.2	0.9999249990176515
6.22	0.999927318803881
6.24	0.9999295668389419
6.26	0.9999317453421034
6.28	0.9999338564639926
6.3	0.9999359022887174
6.32	0.9999378848359243
6.34	0.9999398060627916
6.36	0.9999416678659624
6.38	0.999943472083416
6.4	0.9999452204962833
6.42	0.9999469148306045
6.44	0.999948556759033
6.46	0.9999501479024874
6.48	0.9999516898317508
6.5	0.9999531840690219
6.5200000000000005	0.9999546320894177
6.54	0.9999560353224299
6.5600000000000005	0.9999573951533357
6.58	0.9999587129245655
6.6000000000000005	0.9999599899370285
6.62	0.9999612274513965
6.640000000000001	0.9999624266893486
6.66	0.9999635888347774
6.68	0.9999647150349575
6.7	0.9999658064016782
6.72	0.9999668640123411
6.74	0.9999678889110238
6.76	0.9999688821095104
6.78	0.9999698445882903
6.8	0.9999707772975265
6.82	0.9999716811579933
6.84	0.9999725570619853
6.86	0.9999734058741986
6.88	0.9999742284325839
6.9	0.9999750255491742
6.92	0.9999757980108862
6.94	0.9999765465802972
6.96	0.999977271996398
6.98	0.9999779749753221
7.0	0.9999786562110534
7.0200000000000005	0.9999793163761104
7.04	0.9999799561222106
7.0600000000000005	0.9999805760809141
7.08	0.9999811768642465
7.1000000000000005	0.9999817590653036
7.12	0.9999823232588366
7.140000000000001	0.9999828700018196
7.16	0.9999833998339995
7.18	0.9999839132784288
7.2	0.9999844108419819
7.22	0.9999848930158554
7.24	0.9999853602760533
7.26	0.9999858130838569
7.28	0.9999862518862799
7.3	0.9999866771165097
7.32	0.9999870891943353
7.34	0.9999874885265616
7.36	0.999987875507411
7.38	0.9999882505189125
7.4	0.999988613931279
7.42	0.9999889661032727
7.44	0.9999893073825592
7.46	0.9999896381060507
7.48	0.9999899586002389
7.5	0.9999902691815168
7.5200000000000005	0.9999905701564915
7.54	0.9999908618222868
7.5600000000000005	0.9999911444668363
7.58	0.9999914183691678
7.6000000000000005	0.9999916837996788
7.62	0.9999919410204035
7.640000000000001	0.999992190285271
7.66	0.9999924318403568
7.68	0.999992665924125
7.7	0.9999928927676639
7.72	0.9999931125949144
7.74	0.999993325622891
7.76	0.9999935320618957
7.78	0.9999937321157257
7.8	0.9999939259818753
7.82	0.9999941138517298
7.84	0.999994295910755
7.86	0.9999944723386802
7.88	0.999994643309676
7.9	0.9999948089925256
7.92	0.9999949695507917
7.94	0.9999951251429782
7.96	0.9999952759226861
7.98	0.9999954220387659
8.0	0.9999955636354639
8.02	0.9999957008525651
8.040000000000001	0.9999958338255306
8.06	0.999995962685632
8.08	0.9999960875600803
8.1	0.9999962085721522
8.120000000000001	0.9999963258413113
8.14	0.9999964394833261
8.16	0.9999965496103845
8.18	0.9999966563312045
8.2	0.9999967597511412
8.22	0.9999968599722912
8.24	0.9999969570935932
8.26	0.9999970512109256
8.28	0.9999971424172017
8.3	0.9999972308024606
8.32	0.9999973164539565
8.34	0.999997399456245
8.36	0.9999974798912662
8.38	0.9999975578384259
8.4	0.999997633374674
8.42	0.9999977065745799
8.44	0.999997777510407
8.46	0.9999978462521835
8.48	0.9999979128677714
8.5	0.9999979774229341
8.52	0.9999980399814005
8.540000000000001	0.9999981006049287
8.56	0.9999981593533663
8.58	0.9999982162847103
8.6	0.9999982714551634
8.620000000000001	0.99999832491919
8.64	0.9999983767295701
8.66	0.9999984269374512
8.68	0.9999984755923985
8.700000000000001	0.9999985227424445
8.72	0.9999985684341359
8.74	0.9999986127125797
8.76	0.9999986556214878
8.78	0.9999986972032201
8.8	0.9999987374988262
8.82	0.999998776548086
8.84	0.9999988143895492
8.86	0.999998851060573
8.88	0.999998886597359
8.9	0.9999989210349896
8.92	0.9999989544074614
8.94	0.9999989867477203
8.96	0.9999990180876923
8.98	0.9999990484583166
9.0	0.9999990778895751
9.02	0.9999991064105225
9.040000000000001	0.9999991340493147
9.06	0.999999160833237
9.08	0.9999991867887305
9.1	0.9999992119414185
9.120000000000001	0.9999992363161319
9.14	0.9999992599369335
9.16	0.9999992828271419
9.18	0.9999993050093543
9.200000000000001	0.9999993265054692
9.22	0.9999993473367076
9.24	0.9999993675236342
9.26	0.9999993870861775
9.28	0.9999994060436499
9.3	0.9999994244147662
9.32	0.9999994422176623
9.34	0.9999994594699135
9.36	0.9999994761885512
9.38	0.9999994923900802
9.4	0.9999995080904946
9.42	0.9999995233052941
9.44	0.9999995380494985
9.46	0.9999995523376636
9.48	0.9999995661838945
9.5	0.9999995796018605
9.52	0.9999995926048078
9.540000000000001	0.9999996052055729
9.56	0.9999996174165953
9.58	0.9999996292499298
9.6	0.9999996407172584
9.620000000000001	0.9999996518299017
9.64	0.99999966259883
9.66	0.9999996730346745
9.68	0.9999996831477376
9.700000000000001	0.9999996929480027
9.72	0.9999997024451449
9.74	0.9999997116485398
9.76	0.999999720567273
9.78	0.9999997292101491
9.8	0.9999997375857004
9.82	0.9999997457021952
9.84	0.9999997535676461
9.86	0.999999761189818
9.88	0.9999997685762356
9.9	0.9999997757341907
9.92	0.9999997826707497
9.94	0.9999997893927604
9.96	0.9999997959068587
9.98	0.9999998022194755
10.0	0.9999998083368425
10.02	0.999999814264999
10.040000000000001	0.999999820009797
10.06	0.999999825576908
10.08	0.9999998309718279
10.1	0.9999998361998824
10.120000000000001	0.9999998412662329
10.14	0.9999998461758807
10.16	0.9999998509336727
10.18	0.9999998555443058
10.200000000000001	0.9999998600123317
10.22	0.9999998643421611
10.24	0.9999998685380687
10.26	0.9999998726041964
10.28	0.9999998765445586
10.3	0.999999880363045
10.32	0.9999998840634253
10.34	0.9999998876493527
10.36	0.9999998911243669
10.38	0.9999998944918987
10.4	0.9999998977552725
10.42	0.99999990091771
10.44	0.999999903982333
10.46	0.9999999069521669
10.48	0.9999999098301436
10.5	0.9999999126191044
10.52	0.9999999153218023
10.540000000000001	0.9999999179409056
10.56	0.9999999204789998
10.58	0.9999999229385905
10.6	0.9999999253221059
10.620000000000001	0.999999927631899
10.64	0.9999999298702501
10.66	0.9999999320393688
10.68	0.9999999341413964
10.700000000000001	0.9999999361784082
10.72	0.9999999381524151
10.74	0.9999999400653656
10.76	0.9999999419191485
10.78	0.9999999437155938
10.8	0.9999999454564749
10.82	0.9999999471435104
10.84	0.9999999487783657
10.86	0.9999999503626549
10.88	0.9999999518979419
10.9	0.9999999533857423
10.92	0.9999999548275249
10.94	0.999999956224713
10.96	0.9999999575786861
10.98	0.9999999588907806
11.0	0.999999960162292
11.02	0.9999999613944754
11.040000000000001	0.9999999625885473
11.06	0.9999999637456864
11.08	0.9999999648670352
11.1	0.9999999659537006
11.120000000000001	0.9999999670067553
11.14	0.9999999680272389
11.16	0.9999999690161588
11.18	0.9999999699744915
11.200000000000001	0.9999999709031828
11.22	0.9999999718031497
11.24	0.9999999726752805
11.26	0.9999999735204362
11.28	0.9999999743394512
11.3	0.999999975133134
11.32	0.9999999759022681
11.34	0.9999999766476128
11.36	0.9999999773699039
11.38	0.9999999780698545
11.4	0.9999999787481556
11.42	0.9999999794054768
11.44	0.999999980042467
11.46	0.999999980659755
11.48	0.9999999812579503
11.5	0.9999999818376434
11.52	0.9999999823994065
11.540000000000001	0.9999999829437942
11.56	0.999999983471344
11.58	0.9999999839825766
11.6	0.9999999844779968
11.620000000000001	0.9999999849580935
11.64	0.9999999854233409
11.66	0.9999999858741981
11.68	0.9999999863111103
11.700000000000001	0.9999999867345087
11.72	0.9999999871448114
11.74	0.9999999875424234
11.76	0.9999999879277371
11.78	0.9999999883011331
11.8	0.99999998866298
11.82	0.999999989013635
11.84	0.9999999893534441
11.86	0.999999989682743
11.88	0.9999999900018565
11.9	0.9999999903110999
11.92	0.9999999906107783
11.94	0.9999999909011876
11.96	0.9999999911826146
11.98	0.999999991455337
12.0	0.9999999917196241
12.02	0.9999999919757367
12.040000000000001	0.9999999922239279
12.06	0.9999999924644424
12.08	0.9999999926975177
12.1	0.999999992923384
12.120000000000001	0.9999999931422643
12.14	0.9999999933543746
12.16	0.9999999935599243
12.18	0.9999999937591163
12.200000000000001	0.9999999939521473
12.22	0.9999999941392079
12.24	0.9999999943204827
12.26	0.9999999944961506
12.280000000000001	0.9999999946663851
12.3	0.9999999948313543
12.32	0.9999999949912208
12.34	0.9999999951461428
12.36	0.9999999952962729
12.38	0.9999999954417595
12.4	0.9999999955827463
12.42	0.9999999957193724
12.44	0.9999999958517726
12.46	0.9999999959800776
12.48	0.9999999961044141
12.5	0.9999999962249049
12.52	0.9999999963416688
12.540000000000001	0.9999999964548213
12.56	0.9999999965644739
12.58	0.999999996670735
12.6	0.9999999967737094
12.620000000000001	0.9999999968734988
12.64	0.9999999969702018
12.66	0.9999999970639137
12.68	0.9999999971547271
12.700000000000001	0.9999999972427316
